,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
2055,1627812,24.0,2016-17,46,18,28,0.391,1197.011667,-117,0,0,6-0,178,4,Guard,160,394,68,74,89,111,172,70,42,9,462
2056,1627812,24.0,2016-17,46,18,28,0.391,1197.011667,-117,0,0,6-0,178,4,Guard,160,394,68,74,89,111,172,70,42,9,462
2057,1627812,24.0,2016-17,46,18,28,0.391,1197.011667,-117,0,0,6-0,178,4,Guard,160,394,68,74,89,111,172,70,42,9,462
2058,1627812,25.0,2017-18,82,24,58,0.293,2281.485,3,3,0,6-0,178,4,Guard,311,730,134,82,103,249,201,78,64,9,838
2059,1627812,26.0,2018-19,71,33,38,0.465,1066.648333,-55,0,0,6-0,178,4,Guard,153,352,54,60,67,109,137,40,36,4,420
2060,1627812,27.0,2019-20,50,20,30,0.4,529.76,-14,0,0,6-0,178,4,Guard,79,188,24,36,42,49,69,28,18,4,218
2061,1627827,24.0,2016-17,81,33,48,0.40700000000000003,1641.841667,-120,0,0,6-7,220,4,Forward,124,333,56,46,61,222,67,45,52,25,350
2062,1627827,25.0,2017-18,21,4,17,0.19,448.34,-24,1,0,6-7,220,4,Forward,46,121,20,11,15,75,26,21,10,4,123
2063,1627827,26.0,2018-19,81,33,48,0.40700000000000003,1985.2833329999999,-88,3,0,6-7,220,4,Forward,228,528,79,73,103,389,95,74,69,36,608
2064,1627827,27.0,2019-20,71,40,31,0.563,2119.538333,276,5,0,6-7,220,4,Forward,243,522,114,78,108,405,114,69,45,39,678
2065,1627854,23.0,2016-17,36,24,12,0.667,284.895,-51,0,0,6-2,205,4,Guard,36,99,17,5,6,23,23,11,1,0,94
2066,1627854,24.0,2017-18,80,46,34,0.575,1516.891667,122,0,0,6-2,205,4,Guard,209,497,89,48,72,110,80,37,28,2,555
2067,1627854,25.0,2018-19,82,48,34,0.585,2292.6,-8,1,0,6-2,205,4,Guard,361,791,176,69,78,239,175,80,45,4,967
2068,1627854,26.0,2019-20,63,27,36,0.429,1579.215,-216,0,0,6-2,205,4,Guard,242,581,148,75,90,126,108,57,33,0,707
2069,1626203,23.0,2016-17,27,10,17,0.37,188.9033333,-39,0,0,6-5,219,4,Guard-Forward,19,40,9,10,15,22,6,3,6,1,57
2070,1626203,24.0,2017-18,63,28,35,0.444,1049.538333,-96,0,0,6-5,219,4,Guard-Forward,96,221,40,41,59,121,59,27,33,2,273
2071,1626203,25.0,2018-19,35,19,16,0.5429999999999999,715.3616667,29,0,0,6-5,219,4,Guard-Forward,64,191,38,18,22,107,34,17,13,7,184
2072,1626203,26.0,2019-20,55,21,34,0.382,929.3316667000001,-151,0,0,6-5,219,4,Guard-Forward,87,242,33,36,56,150,45,29,24,6,243
2073,1626203,26.0,2019-20,55,21,34,0.382,929.3316667000001,-151,0,0,6-5,219,4,Guard-Forward,87,242,33,36,56,150,45,29,24,6,243
2074,1626203,26.0,2019-20,55,21,34,0.382,929.3316667000001,-151,0,0,6-5,219,4,Guard-Forward,87,242,33,36,56,150,45,29,24,6,243
2075,1627823,21.0,2016-17,62,30,32,0.484,841.9016667000001,-34,1,0,6-9,214,4,Forward,101,224,46,57,76,187,29,31,30,12,305
2076,1627823,22.0,2017-18,25,15,10,0.6,277.08,-24,0,0,6-9,214,4,Forward,29,75,14,10,12,54,12,9,6,3,82
2077,1627823,23.0,2018-19,70,44,26,0.629,1358.156667,36,4,0,6-9,214,4,Forward,138,314,66,66,86,265,55,37,27,24,408
2078,1627823,24.0,2019-20,48,24,24,0.5,833.5116667000001,-55,4,0,6-9,214,4,Forward,100,247,44,44,71,197,40,32,19,9,288
2079,1627823,24.0,2019-20,48,24,24,0.5,833.5116667000001,-55,4,0,6-9,214,4,Forward,100,247,44,44,71,197,40,32,19,9,288
2080,1627823,24.0,2019-20,48,24,24,0.5,833.5116667000001,-55,4,0,6-9,214,4,Forward,100,247,44,44,71,197,40,32,19,9,288
2081,1626195,23.0,2016-17,72,27,45,0.375,1324.41,-54,11,0,6-11,250,4,Center-Forward,246,465,4,91,125,502,96,100,41,36,587
2082,1626195,24.0,2017-18,48,20,28,0.41700000000000004,494.325,0,4,0,6-11,250,4,Center-Forward,91,164,5,59,90,183,33,35,18,16,246
2083,1626195,24.0,2017-18,48,20,28,0.41700000000000004,494.325,0,4,0,6-11,250,4,Center-Forward,91,164,5,59,90,183,33,35,18,16,246
2084,1626195,24.0,2017-18,48,20,28,0.41700000000000004,494.325,0,4,0,6-11,250,4,Center-Forward,91,164,5,59,90,183,33,35,18,16,246
2085,1626195,25.0,2018-19,58,31,27,0.534,811.8533332999999,-94,4,0,6-11,250,4,Center-Forward,153,295,15,100,144,311,60,58,16,20,421
2086,1626195,26.0,2019-20,31,7,24,0.226,375.2183333,-18,2,0,6-11,250,4,Center-Forward,74,139,5,37,59,134,29,30,10,7,190
2087,1627741,24.0,2016-17,82,31,51,0.37799999999999995,1888.1833329999997,-212,0,0,6-4,220,4,Guard,327,767,148,64,76,269,121,101,38,9,866
2088,1627741,24.0,2016-17,82,31,51,0.37799999999999995,1888.1833329999997,-212,0,0,6-4,220,4,Guard,327,767,148,64,76,269,121,101,38,9,866
2089,1627741,24.0,2016-17,82,31,51,0.37799999999999995,1888.1833329999997,-212,0,0,6-4,220,4,Guard,327,767,148,64,76,269,121,101,38,9,866
2090,1627741,25.0,2017-18,80,27,53,0.33799999999999997,2024.2316670000002,-154,0,0,6-4,220,4,Guard,416,933,176,71,81,307,155,124,85,22,1079
2091,1627741,26.0,2018-19,82,39,43,0.47600000000000003,2614.8583329999997,0,3,0,6-4,220,4,Guard,623,1360,278,171,193,412,205,146,58,33,1695
2092,1627741,27.0,2019-20,72,31,41,0.431,2216.0616670000004,-106,2,0,6-4,220,4,Guard,498,1162,271,115,136,328,213,168,66,17,1382
2093,1627863,24.0,2016-17,1,0,1,0.0,0.826666667,0,0,0,6-6,220,4,Forward-Guard,0,0,0,0,0,1,0,0,0,0,0
2094,1627863,25.0,2017-18,23,6,17,0.261,402.625,19,0,0,6-6,220,4,Forward-Guard,56,129,15,25,31,76,25,11,7,6,152
2095,1627863,26.0,2018-19,39,27,12,0.6920000000000001,978.665,169,0,0,6-6,220,4,Forward-Guard,118,252,74,56,71,140,40,35,21,11,366
2096,1627863,27.0,2019-20,63,40,23,0.635,1912.651667,123,2,0,6-6,220,4,Forward-Guard,230,539,129,73,90,267,85,54,67,34,662
2097,1627742,19.0,2016-17,79,26,53,0.32899999999999996,2279.261667,-383,0,0,6-7,190,4,Forward,276,686,55,133,214,316,166,116,50,36,740
2098,1627742,20.0,2017-18,59,27,32,0.45799999999999996,1974.5616670000002,-127,6,0,6-7,190,4,Forward,358,761,41,192,282,314,230,149,45,43,949
2099,1627742,21.0,2018-19,52,25,27,0.48100000000000004,1760.493333,-59,2,0,6-7,190,4,Forward,362,729,31,195,289,267,154,129,28,31,950
2100,1627742,22.0,2019-20,62,25,37,0.40299999999999997,2103.44,-44,9,0,6-7,190,4,Forward,507,1096,150,313,368,380,259,189,61,38,1477
2101,1627745,22.0,2016-17,10,7,3,0.7,85.08333333,-28,0,0,6-11,245,4,Center,8,16,0,3,10,23,0,6,1,4,19
2102,1627745,23.0,2017-18,15,7,8,0.467,88.71166667,0,0,0,6-11,245,4,Center,11,22,0,3,5,14,2,4,1,3,25
2103,1627745,24.0,2018-19,24,15,9,0.625,409.6183333,16,0,0,6-11,245,4,Center,53,74,0,24,37,75,28,16,12,25,130
2104,1627745,25.0,2019-20,55,15,40,0.273,886.9416667000002,-256,0,0,6-11,245,4,Center,121,178,2,62,84,206,35,28,26,40,306
2105,1627884,20.0,2016-17,32,7,25,0.21899999999999997,545.4,33,0,0,6-6,210,4,Forward,68,121,3,29,41,79,12,13,14,13,168
2106,1627884,21.0,2017-18,20,9,11,0.45,245.1716667,-36,0,0,6-6,210,4,Forward,21,53,3,16,24,38,9,7,4,13,61
2107,1627884,21.0,2017-18,20,9,11,0.45,245.1716667,-36,0,0,6-6,210,4,Forward,21,53,3,16,24,38,9,7,4,13,61
2108,1627884,21.0,2017-18,20,9,11,0.45,245.1716667,-36,0,0,6-6,210,4,Forward,21,53,3,16,24,38,9,7,4,13,61
2109,1627884,22.0,2018-19,60,31,29,0.517,1153.536667,-22,0,0,6-6,210,4,Forward,160,324,28,74,122,240,37,43,46,42,422
2110,1627884,23.0,2019-20,59,34,25,0.5760000000000001,1375.083333,-28,0,0,6-6,210,4,Forward,184,349,37,95,123,233,62,30,58,38,500
